,data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,last_update
0,2023-12-24,202352,0.0,0,0,0,0.0,0.0,0,1,352970820235219828,2024-04-15,0.0,0.0,19119.0,24.2131147540984,80.3508718360656,0,0,0,75.4052603606557,69.6735780655738,25.1147539672131,26.4918032786885,,,,,,93,2024-04-16 06:11:42.109770
1,2023-12-17,202351,0.0,0,0,0,0.0,0.0,0,1,352970820235119828,2024-04-15,0.0,0.0,19119.0,25.2295081967213,70.6185199180328,0,0,0,66.6407517540984,61.5650525737705,25.7909836065574,26.8032786885246,,,,,,93,2024-04-16 06:11:42.109770
2,2023-12-10,202350,0.0,0,0,0,0.0,0.0,0,1,352970820235019828,2024-04-15,0.0,0.0,19119.0,25.3174603174603,68.6189315714286,0,0,0,61.2909672857143,51.526154984127,26.6653438095238,28.8253968253968,,,,,,93,2024-04-16 06:11:42.109770
3,2023-12-03,202349,0.0,0,0,0,0.0,0.0,0,1,352970820234919828,2024-04-15,0.0,0.0,19119.0,21.5,91.29253,0,0,0,69.30378,44.2391975,26.25,32.5,,,,,,93,2024-04-16 06:11:42.109770
4,2023-11-26,202348,0.0,0,0,0,0.0,0.0,0,1,352970820234819828,2024-04-15,0.0,0.0,19119.0,23.8288288288288,74.7251756576577,0,0,0,,,,,,,,,,93,2024-04-16 06:11:42.109770
5,2023-11-19,202347,0.0,0,0,0,0.0,0.0,0,1,352970820234719828,2024-04-15,0.0,0.0,19119.0,26.1576576576577,58.1578213153153,0,0,0,,,,,,,,,,93,2024-04-16 06:11:42.109770
6,2023-11-12,202346,0.0,0,0,0,0.0,0.0,0,1,352970820234619828,2024-04-15,0.0,0.0,19119.0,28.4864864864865,41.590466972973,0,0,0,39.0111954594595,36.4319257027027,29.1891891891892,29.8918918918919,,,,,,93,2024-04-16 06:11:42.109770
7,2023-11-05,202345,0.0,0,0,0,0.0,0.0,0,1,352970820234519828,2024-04-15,0.0,0.0,19119.0,24.6326530612245,52.8189296530612,0,0,0,49.0523295306122,45.3419953061224,25.8103741632653,26.7959183673469,,,,,,93,2024-04-16 06:11:42.109770
8,2023-10-29,202344,0.0,0,0,0,0.0,0.0,0,1,352970820234419828,2024-04-15,0.0,0.0,19119.0,22.4821428571429,89.6712226785714,0,0,0,83.4265268214286,76.9778454642857,23.6540178571429,25.0714285714286,,,,,,93,2024-04-16 06:11:42.109770
9,2023-10-22,202343,0.0,0,0,0,0.0,0.0,0,1,352970820234319828,2024-04-15,0.0,0.0,19119.0,25.25,68.5270626666667,0,0,0,64.9820837666667,58.93506755,25.8409721,27.15,,,,,,93,2024-04-16 06:11:42.109770
10,2023-10-15,202342,0.0,0,0,0,0.0,0.0,0,1,352970820234219828,2024-04-15,0.0,0.0,19119.0,24.9152542372881,69.5866819661017,0,0,0,64.2266867457627,60.1415359830509,25.8029661016949,26.6440677966102,,,,,,93,2024-04-16 06:11:42.109770
11,2023-10-08,202341,0.0,0,0,0,0.0,0.0,0,1,352970820234119828,2024-04-15,0.0,0.0,19119.0,24.0363636363636,76.6291485272727,0,0,0,72.6472778363636,68.7968272727273,24.7681818181818,25.5818181818182,,,,,,93,2024-04-16 06:11:42.109770
12,2023-10-01,202340,0.0,0,0,0,0.0,0.0,0,1,352970820234019828,2024-04-15,0.0,0.0,19119.0,23.5692307692308,86.0383474,0,0,0,79.8151813846154,72.8883022307692,24.4538460307692,25.8307692307692,,,,,,93,2024-04-16 06:11:42.109770
13,2023-09-24,202339,0.0,0,0,0,0.0,0.0,0,1,352970820233919828,2024-04-15,0.0,0.0,19119.0,26.7391304347826,59.3201817391304,0,0,0,52.8631878478261,42.4052799565217,27.8115944347826,29.9130434782609,,,,,,93,2024-04-16 06:11:42.109770
14,2023-09-17,202338,0.0,0,0,0,0.0,0.0,0,1,352970820233819828,2024-04-15,0.0,0.0,19119.0,26.2539682539683,45.4427777777778,0,0,0,40.4746679365079,35.4185998730159,27.7936509206349,29.3492063492063,,,,,,93,2024-04-16 06:11:42.109770
15,2023-09-10,202337,0.0,0,0,0,0.0,0.0,0,1,352970820233719828,2024-04-15,0.0,0.0,19119.0,19.0,80.2351035,0,0,0,68.668791,51.25935,21.416667,25.0,,,,,,93,2024-04-16 06:11:42.109770
16,2023-09-03,202336,0.0,0,0,0,0.0,0.0,0,1,352970820233619828,2024-04-15,0.0,0.0,19119.0,20.25,72.3739885,0,0,0,,,,,,,,,,93,2024-04-16 06:11:42.109770
17,2023-08-27,202335,0.0,0,0,0,0.0,0.0,0,1,352970820233519828,2024-04-15,0.0,0.0,19119.0,21.5,64.5128735,0,0,0,,,,,,,,,,93,2024-04-16 06:11:42.109770
18,2023-08-20,202334,0.0,0,0,0,0.0,0.0,0,1,352970820233419828,2024-04-15,0.0,0.0,19119.0,22.75,56.6517585,0,0,0,,,,,,,,,,93,2024-04-16 06:11:42.109770
19,2023-08-13,202333,0.0,0,0,0,0.0,0.0,0,1,352970820233319828,2024-04-15,0.0,0.0,19119.0,24.0,48.7906435,0,0,0,43.905694,39.0207395,24.5,25.0,,,,,,93,2024-04-16 06:11:42.109770
20,2023-08-06,202332,0.0,0,0,0,0.0,0.0,0,1,352970820233219828,2024-04-15,0.0,0.0,19119.0,23.5714285714286,39.3584254285714,0,0,0,35.062799,30.2551955714286,24.8273808571429,26.2857142857143,,,,,,93,2024-04-16 06:11:42.109770
21,2023-07-30,202331,0.0,0,0,0,0.0,0.0,0,1,352970820233119828,2024-04-15,0.0,0.0,19119.0,21.4444444444444,48.6974007777778,0,0,0,45.5647234074074,41.8214823703704,22.237037037037,23.4074074074074,,,,,,93,2024-04-16 06:11:42.109770
22,2023-07-23,202330,0.0,0,0,0,0.0,0.0,0,1,352970820233019828,2024-04-15,0.0,0.0,19119.0,21.7142857142857,51.7596077142857,0,0,0,48.3335757142857,44.663401,22.3095237142857,23.2857142857143,,,,,,93,2024-04-16 06:11:42.109770
23,2023-07-16,202329,0.0,0,0,0,0.0,0.0,0,1,352970820232919828,2024-04-15,0.0,0.0,19119.0,20.7142857142857,68.4848178571429,0,0,0,64.8373792857143,60.6265821428571,21.2040817142857,21.8571428571429,,,,,,93,2024-04-16 06:11:42.109770
24,2023-07-09,202328,1.0,1,1,1,0.9631786,5.230399,0,1,352970820232819828,2024-04-15,0.0,18.47582,19119.0,19.0,58.6174999259259,0,0,0,55.0760551851852,50.1088483703704,19.7089946666667,20.9259259259259,,,,,,93,2024-04-16 06:11:42.109770
25,2023-07-02,202327,0.0,0,0,0,0.0,0.0,0,1,352970820232719828,2024-04-15,0.0,0.0,19119.0,18.0,52.9771354285714,0,0,0,49.5397902857143,45.6305477142857,18.6938774285714,19.8571428571429,,,,,,93,2024-04-16 06:11:42.109770
26,2023-06-25,202326,0.0,0,0,0,0.0,0.0,0,1,352970820232619828,2024-04-15,0.0,0.0,19119.0,19.1428571428571,58.2902255714286,0,0,0,55.5269997142857,52.3199452857143,19.6978021428571,20.4285714285714,,,,,,93,2024-04-16 06:11:42.109770
27,2023-06-18,202325,0.0,0,0,0,0.0,0.0,0,1,352970820232519828,2024-04-15,0.0,0.0,19119.0,17.1428571428571,61.1652742857143,0,0,0,58.5633817142857,55.3860581428571,17.7527471428571,18.5714285714286,,,,,,93,2024-04-16 06:11:42.109770
28,2023-06-11,202324,0.0,0,0,0,0.0,0.0,0,1,352970820232419828,2024-04-15,0.0,0.0,19119.0,18.8571428571429,74.3842305714286,0,0,0,73.0822358571428,71.0467662857143,19.5,20.1428571428571,,,,,,93,2024-04-16 06:11:42.109770
29,2023-06-04,202323,0.0,0,0,0,0.0,0.0,0,1,352970820232319828,2024-04-15,0.0,0.0,19119.0,19.2,62.27811272,0,0,0,58.65472428,53.92610656,19.84666656,20.76,,,,,,93,2024-04-16 06:11:42.109770
30,2023-05-28,202322,1.0,1,1,1,0.8145275,5.230399,0,1,352970820232219828,2024-04-15,0.0,3.3787816,19119.0,19.3333333333333,81.8945211851852,0,0,0,79.4084328888889,76.9637223703704,19.7654321481481,20.2222222222222,,,,,,93,2024-04-16 06:11:42.109770
31,2023-05-21,202321,0.0,0,0,0,0.0,0.0,0,1,352970820232119828,2024-04-15,0.0,0.0,19119.0,17.3636363636364,68.0342533636364,0,0,0,54.5710628636364,42.4927604545455,20.7133265454545,23.9545454545455,,,,,,93,2024-04-16 06:11:42.109770
32,2023-05-14,202320,0.0,0,0,0,0.0,0.0,0,1,352970820232019828,2024-04-15,0.0,0.0,19119.0,17.3333333333333,60.7360575,0,0,0,51.1472036666667,41.615638375,19.7968750833333,22.4583333333333,,,,,,93,2024-04-16 06:11:42.109770
33,2023-05-07,202319,1.0,1,1,1,0.8909659,5.230399,0,1,352970820231919828,2024-04-15,0.0,6.0039163,19119.0,20.4615384615385,71.7863598461538,0,0,0,66.0664398461538,59.3973803846154,21.8183761538462,23.3076923076923,,,,,,93,2024-04-16 06:11:42.109770
34,2023-04-30,202318,0.0,0,0,0,0.0,0.0,0,1,352970820231819828,2024-04-15,0.0,0.0,19119.0,21.5555555555556,67.1399048148148,0,0,0,65.0273298518518,62.045316962963,22.125356,22.8888888888889,,,,,,93,2024-04-16 06:11:42.109770
35,2023-04-23,202317,0.0,0,0,0,0.0,0.0,0,1,352970820231719828,2024-04-15,0.0,0.0,19119.0,18.8333333333333,89.4713368333333,0,0,0,71.8719104166667,50.490919,22.3159725,26.8333333333333,,,,,,93,2024-04-16 06:11:42.109770
36,2023-04-16,202316,0.0,0,0,0,0.0,0.0,0,1,352970820231619828,2024-04-15,0.0,0.0,19119.0,18.4285714285714,91.7236342857143,0,0,0,73.7259675714286,53.7895251428571,22.345238,26.8571428571429,,,,,,93,2024-04-16 06:11:42.109770
37,2023-04-09,202315,2.0,2,2,2,0.15870075,10.460798,0,1,352970820231519828,2024-04-15,0.0,0.4635827,19119.0,20.0,96.6264914285714,0,0,0,81.049242,60.5802872857143,22.8809522857143,27.4285714285714,,,,,,93,2024-04-16 06:11:42.109770
38,2023-04-02,202314,1.0,1,1,1,0.00472595,5.230399,0,1,352970820231419821,2024-04-08,0.0,0.12944682,19119.0,19.5714285714286,91.8195942857143,0,0,0,73.4994438571429,50.4928478571429,23.0059522857143,28.2857142857143,,,,,,93,2024-04-16 06:11:42.109770
39,2023-03-26,202313,1.0,1,1,1,0.0019995396,5.230399,0,1,352970820231319815,2024-04-02,0.0,0.111531004,19119.0,22.2962962962963,82.3727792592593,0,0,0,72.295277037037,59.7395840740741,24.5123457777778,27.2592592592593,,,,,,93,2024-04-16 06:11:42.109770
40,2023-03-19,202312,13.0,13,13,13,0.74754786,67.995186,0,1,352970820231219809,2024-03-27,0.0,1.3165828,19119.0,21.5714285714286,84.659725,0,0,2,64.7460938571429,46.0300437142857,25.1607142857143,29.0,,,,,,93,2024-04-16 06:11:42.109770
41,2023-03-12,202311,7.0,7,7,7,0.19380513,36.612793,0,1,352970820231119801,2024-03-19,0.0,0.6655741,19119.0,21.0,93.4264104,1,0,1,91.11081216,89.1570944,21.34666656,21.64,,,,,,93,2024-04-16 06:11:42.109770
42,2023-03-05,202310,9.0,9,9,9,0.5328203,47.073593,0,1,352970820231019795,2024-03-13,0.0,1.0390223,19119.0,21.5925925925926,85.6452848148148,0,0,1,81.8800181111111,78.3407451851852,22.0617282962963,22.4814814814815,,,,,,93,2024-04-16 06:11:42.109770
43,2023-02-26,202309,14.0,14,14,14,0.9549817,73.225586,0,1,352970820230919787,2024-03-05,0.0,2.1336503,19119.0,22.7142857142857,81.8564842857143,0,1,2,78.2486435714286,74.3301404285714,23.2619048571429,23.8571428571429,,,,,,93,2024-04-16 06:11:42.109770
44,2023-02-19,202308,9.0,9,9,9,0.72419363,47.073593,0,1,352970820230819780,2024-02-27,0.0,1.3418368,19119.0,19.962962962963,98.4541703703704,0,0,1,87.4452312592593,67.0453592592593,22.3148148148148,26.5925925925926,,,,,,93,2024-04-16 06:11:42.109770
45,2023-02-12,202307,3.0,3,3,3,0.119717896,15.691197,0,1,352970820230719774,2024-02-21,0.0,0.46859702,19119.0,22.5,87.0491486363636,1,0,0,82.184195,76.9080686363636,23.1,23.7727272727273,,,,,,93,2024-04-16 06:11:42.109770
46,2023-02-05,202306,8.0,8,8,8,0.84404683,41.843193,0,1,352970820230619768,2024-02-15,0.0,1.7545538,19119.0,22.4285714285714,83.1024164285714,0,0,1,82.8324235714286,82.2986878571429,22.5238094285714,22.5714285714286,,,,,,93,2024-04-16 06:11:42.109770
47,2023-01-29,202305,9.0,9,9,9,0.9471281,40.25945,0,1,352970820230519760,2024-02-07,0.0,2.5270278,22355.0,21.8571428571429,90.3717842857143,1,0,1,85.9273034285714,79.7928425714286,22.6666665714286,24.0,,,,,,93,2024-04-16 06:11:42.109770
48,2023-01-22,202304,2.0,2,2,2,0.24524583,8.946545,0,1,352970820230419752,2024-01-30,0.0,0.5742926,22355.0,22.7142857142857,83.161495,0,0,0,82.8559721428571,82.5504485714286,22.7857142857143,22.8571428571429,,,,,,93,2024-04-16 06:11:42.109770
49,2023-01-15,202303,4.0,4,4,4,0.6664356,17.89309,0,1,352970820230319748,2024-01-26,0.0,1.3621253,22355.0,22.2857142857143,84.8779407142857,0,0,0,84.87478,84.8716192857143,22.3571428571429,22.4285714285714,,,,,,93,2024-04-16 06:11:42.109770
50,2023-01-08,202302,3.0,3,3,3,0.8085959,13.419817,0,1,352970820230219748,2024-01-26,0.0,2.1868653,22355.0,20.4285714285714,95.0399437142857,1,0,0,86.2647942857143,67.8053175714286,22.2321431428571,25.7142857142857,,,,,,93,2024-04-16 06:11:42.109770
51,2023-01-01,202301,5.0,5,5,5,0.99577093,22.366362,0,1,352970820230119741,2024-01-19,0.0,18.521618,22355.0,19.4285714285714,98.2784314285714,0,1,1,85.2899204285714,62.9832121428571,22.2976191428571,26.5714285714286,,,,,,93,2024-04-16 06:11:42.109770
